|User|Date Created|Number of Likes|Source of Tweet|Tweet|extract|text_clean
0|Olgamorel19|2022-10-22 00:20:28+00:00|1|Twitter for iPhone|Buenas noches https://t.co/7TBZqUqTLj|main|buenas noches
1|Olgamorel19|2022-10-21 00:40:44+00:00|5|Twitter for iPhone|Buenas noches https://t.co/WHCgohOpDl|main|buenas noches
2|Olgamorel19|2022-10-20 13:14:57+00:00|5|Twitter for iPhone|Buenos días https://t.co/LVQxI2UGB5|main|buenos días
3|Olgamorel19|2022-10-20 13:13:04+00:00|4|Twitter for iPhone|Buenos días https://t.co/tWX0vbwX7R|main|buenos días
4|Olgamorel19|2022-10-20 02:14:46+00:00|3|Twitter for iPhone|Buenas noches https://t.co/GwDgJi96aU|main|buenas noches
5|Olgamorel19|2022-10-19 03:20:48+00:00|1|Twitter for iPhone|@nuriapiera No Solamente la Bandera Cuando la policía vea esos Haitianos Bañarse desnudó y defecando en las Calles deberían de llevarlos al manicomio y dejarlos por el resto de sus vida|main|solamente bandera policía vea haitianos bañarse desnudó defecando calles deberían llevarlos manicomio dejarlos resto vida
6|Olgamorel19|2022-10-19 01:21:25+00:00|1|Twitter for iPhone|Buenas noches https://t.co/xEb9kLAaJj|main|buenas noches
7|Olgamorel19|2022-10-18 12:56:42+00:00|3|Twitter for iPhone|Buenos días https://t.co/atMtZm4pyq|main|buenos días
8|Olgamorel19|2022-10-18 12:55:12+00:00|6|Twitter for iPhone|Buenos días https://t.co/lOwsyssMwo|main|buenos días
9|Olgamorel19|2022-10-18 04:31:19+00:00|2|Twitter for iPhone|@HRCC07 @LeoMarr04240289 @luisabinader @nuriapiera @jochivicente @DiarioLibre @ListinDiario Jajajajajajaja párese que en mi querida patria Todavía están Creyendo en una persona que en su Candidatura les Mintió los Dominicanos tendrán que Salir todos a bañarse Con agua bien Salada porque les Cayeron los palitos Con todos estos presidentes que se gastan.|main|jajajajajajaja párese querida patria todavía creyendo persona candidatura mintió dominicanos salir bañarse agua bien salada cayeron palitos presidentes gastan
10|Olgamorel19|2022-10-18 04:23:37+00:00|0|Twitter for iPhone|@JosePeraltaVil1 Abinader si no pude hablar tendrás que Comprarse un perro negro con las Colas Blancas.|main|abinader si pude hablar comprarse perro negro colas blancas
11|Olgamorel19|2022-10-18 04:20:51+00:00|1|Twitter for iPhone|@JosePeraltaVil1 Si no pude hablar que deje la presidencia y problema resuelto .|main|si pude hablar deje presidencia problema resuelto
12|Olgamorel19|2022-10-18 03:36:46+00:00|4|Twitter for iPhone|Buenas noches https://t.co/hcXom0SVxi|main|buenas noches
13|Olgamorel19|2022-10-17 23:08:26+00:00|9|Twitter for iPhone|@VinicioSenador @RobalsdqAlvarez Abinader con la boca serrada porque no les Explica al pueblo Dominicano a que fueron esos militares a la fronteras?|main|abinader boca serrada explica pueblo dominicano militares fronteras
14|Olgamorel19|2022-10-17 23:02:26+00:00|0|Twitter for iPhone|@Alvi23 Ramfis presidente para Sacar todo este grajo y pestilencia RD Olor a ajo podrido https://t.co/jq7KrcM8gA|main|ramfis presidente sacar grajo pestilencia rd olor ajo podrido
15|Olgamorel19|2022-10-17 14:16:05+00:00|4|Twitter for iPhone|Buenos días https://t.co/YnwI9bEtau|main|buenos días
16|Olgamorel19|2022-10-17 14:13:39+00:00|6|Twitter for iPhone|Buenos días https://t.co/X8NlGxEeY3|main|buenos días
17|Olgamorel19|2022-10-17 01:19:49+00:00|2|Twitter for iPhone|@DannyElFu3taso @PatriotasDomi Mándela para Haití para que lleve la buena vida que lleva esta Buena para nada Cara de Borracha|main|mándela haití lleve buena vida lleva buena cara borracha
18|Olgamorel19|2022-10-17 01:02:44+00:00|2|Twitter for iPhone|Buenas noches https://t.co/85iyncPIvZ|main|buenas noches
19|Olgamorel19|2022-10-16 01:36:10+00:00|3|Twitter for iPhone|Buenas noches https://t.co/daEro4VRXU|main|buenas noches
20|Olgamorel19|2022-10-15 14:19:52+00:00|5|Twitter for iPhone|Buenos días https://t.co/RiTfYVe1oX|main|buenos días
21|nuriapiera|2022-10-22 02:06:07+00:00|10|dlvr.it|Insistencia de Abinader por ayuda a Haití, por fin despierta interés de gobernantes de otras naciones https://t.co/3rNaywW8vT #NDigital https://t.co/R9Z5NjjG4T|rendered|insistencia abinader ayuda haití fin despierta interés gobernantes naciones ndigital
