|User|Date Created|Number of Likes|Source of Tweet|Tweet|gender|text_clean
0|luzjttko|2022-07-05 23:59:59+00:00|0|Twitter Web App|"Le pasa que esta echo un progre! Y por ser sumiso de la mujer psiquiátrica que tiene.
Vegana, abortara globalista hdp https://t.co/YpCgv84RFv"|female|pasa echo progre ser sumiso mujer psiquiátrica vegana abortara globalista hdp
1|Azotepigs|2022-07-05 23:59:57+00:00|4|Twitter for Android|@maleva_yina @Vitaadara @carlos_sobera También es real que han sacado un video en el que el xenofobo, homófobo, misogino de cocamoros llama a una mujer put4 sin parar Y EL IMPRESENTABLE PROGRAMA CON @carlos_sobera al frente NO REPROCHA NADA!!! ASCO!!!!|female|yina sobera real sacado video xenofobo homófobo misogino cocamoros llama mujer put4 parar impresentable programa sobera frente reprocha asco
2|nwathaniel|2022-07-05 23:59:57+00:00|0|Twitter for Android|soy solo una mujer con 12 pestañas de ao3 abiertas|female|solo mujer 12 pestañas ao3 abiertas
3|LaChicaArdilla2|2022-07-05 23:59:54+00:00|17|Twitter for Android|"""Si un hombre golpea a una mujer esta mal. A menos que el hombre sea judío, entonces está bien.""

Atte. Europa. https://t.co/FwPuvc1UTo"|female|si hombre golpea mujer mal menos hombre judío entonces bien atte europa
4|Pinocchio123456|2022-07-05 23:59:50+00:00|0|Twitter for iPad|@DaniWolv Qué belleza de mujer.|female|belleza mujer
5|Daniellex1012|2022-07-05 23:59:50+00:00|4|Twitter for Android|"@atusaludenlinea Hombre Bicentenario
Yo antes de ti
No se aceptan devoluciones
Bajo la misma estrella
Azul y no tan Rosa
Inteligencia Artificial
Ghost 
Mujer Bonita... Y pare usted de contar."|female|hombre bicentenario aceptan devoluciones bajo misma estrella azul tan rosa inteligencia artificial ghost mujer bonita pare usted contar
6|Quintopoder10|2022-07-05 23:59:46+00:00|0|Twitter for iPhone|@NormaYarrow4 Y lo hizo una mujer. plop!!!|female|hizo mujer plop
7|ElCiudaArg|2022-07-05 23:59:45+00:00|2|Twitter for Android|"Nos alegra un montón tener a Elizabeth Duval en el estudio para hablar de lo que significa y supone ser una mujer trans.
https://t.co/VcGZBe2nB3"|female|alegra montón tener elizabeth duval estudio hablar significa supone ser mujer trans
8|TuruCentral|2022-07-05 23:59:45+00:00|1|Twitter for Android|@LeonMontiveroRC @MarceloCJMM grita los goles como mujer|female|grita goles mujer
9|maqui_rluna|2022-07-05 23:59:44+00:00|2|Twitter for Android|@NormaYarrow4 Tanto nos ha costado a las mujeres conseguir conseguir nuestros derechos como para que vengan a hacer estas tonterías. Si quieren creen un nuevo ministerio para las familias, pero al Ministerio de la Mujer no lo toquen.|female|costado mujeres conseguir conseguir derechos vengan hacer tonterías si quieren creen nuevo ministerio familias ministerio mujer toquen
10|TdiColombia|2022-07-05 23:59:41+00:00|0|WordPress.com|Sospechoso se habría vestido de mujer https://t.co/FYi4WYbFtt|female|sospechoso vestido mujer
11|Olgamorel19|2022-07-05 23:59:34+00:00|1|Twitter for iPhone|@KingLibraLeo @Mujer_DOM @ListinDiario https://t.co/782rR3VoYB|female|dom
12|carloso62354835|2022-07-05 23:59:32+00:00|2|Twitter for Android|@chech0batista @mariuvidal vidal es de centro izquierda, y eso que estoy exagerando. Esta a 2 clases de filosofia de ser marxista esta mujer|female|vidal centro izquierda exagerando 2 clases filosofia ser marxista mujer
13|BRCHARMD|2022-07-05 23:59:31+00:00|0|Twitter for Android|No pensó que le fuera a permitir llegar más lejos, en especial porque anteriormente parecía haber querido escapar de sus manos, qué curioso. De todos modos, no sería quién lo detuviera pues, como ya ha nombrado, esa mujer llamaba su atención desde el primer momento en que » https://t.co/dT73Vs8HxX|female|pensó permitir llegar lejos especial anteriormente parecía haber querido escapar manos curioso modos quién detuviera pues nombrado mujer llamaba atención primer momento
14|Leeogonzalezz|2022-07-05 23:59:30+00:00|0|Twitter for Android|mujer de mi vida|female|mujer vida
15|exitosape|2022-07-05 23:59:30+00:00|19|Twitter Web App|"🔵🔴El Ministerio de la Mujer y Poblaciones Vulnerables (MIMP) no respalda el cambio de nombre a Ministerio de la Familia y Poblaciones Vulnerables. ""El Dictamen aprobado atenta contra los derechos de las mujeres"", señaló.

https://t.co/lH2B8WqP3E"|female|ministerio mujer poblaciones vulnerables mimp respalda cambio nombre ministerio familia poblaciones vulnerables dictamen aprobado atenta derechos mujeres señaló
16|Critianbeltranb|2022-07-05 23:59:30+00:00|0|Twitter for Android|@Sofiaariza01 @praskauer @JAlejandro7 @_kmkc_ @TransMKdPueblo @ValentinaAB10 @xdiosara A usted lo que le molesta es que le haga caer en cuenta que las mujeres también delinquen (Y eso es por parejo indistintamente si se es hombre o mujer) y le molesta porque eso rompe el credo bíblico del culto feminista; el dogma de qué las mujeres son arcángeles santurronas.|female|kmkc usted molesta haga caer cuenta mujeres delinquen parejo indistintamente si hombre mujer molesta rompe credo bíblico culto feminista dogma mujeres arcángeles santurronas
17|yazmiinaleeja|2022-07-05 23:59:30+00:00|0|Twitter for Android|Horror, en serio. Horror, ver hasta donde llega una mujer por querer tener pareja. El wey es super egocéntrico, se cree la última Coca cola en el desierto y a Ella se le olvida su valor.|female|horror serio horror ver llega mujer querer tener pareja wey super egocéntrico cree última coca cola desierto olvida valor
18|Msandovalmid|2022-07-05 23:59:29+00:00|0|Twitter for Android|@EVIDEGARAY @SofiaRiveraT Haz lo que tengas que hacer con ella y luego consigue una mujer para formar una familia con valores y sentar ya cabeza, ya estás 🥚'n|female|haz hacer luego consigue mujer formar familia valores sentar cabeza n
19|JavierSalcedo98|2022-07-05 23:59:29+00:00|95|Twitter for iPhone|Una mujer bonita no está para andar con cualquier pirobo inseguro.|female|mujer bonita andar cualquier pirobo inseguro
20|polinayaso|2022-07-05 23:59:25+00:00|0|Twitter for Android|@follambula La forma en que la mujer asustó al doablo|female|forma mujer asustó doablo
21|Lucas3Llorca|2022-07-05 23:59:22+00:00|0|Twitter for Android|Era la mujer de mis sueños...|female|mujer sueños
22|fio_vittori|2022-07-05 23:59:21+00:00|1|Twitter Web App|Mi mamá? La mujer más fuerte que conozco 💖|female|mamá mujer fuerte conozco
23|auraestherherna|2022-07-05 23:59:20+00:00|0|Twitter for Android|@atusaludenlinea mujer bonita|female|mujer bonita
24|helldavis666|2022-07-05 23:59:17+00:00|7|Twitter for iPhone|@RicardoMoran Una mujer q recibe un pago por dar q Luz a un hijo de otra pareja es la madre biológica aunque te joda, cómo debe sentirse tú madre, debe ser q si te la impusieron.|female|mujer q recibe pago dar q luz hijo pareja madre biológica aunque joda cómo debe sentirse madre debe ser q si impusieron
25|patalind|2022-07-05 23:59:17+00:00|0|Twitter for Android|@FerIglesias De donde saca la información esta mujer????|female|saca información mujer
26|BraulitoLP|2022-07-05 23:59:14+00:00|5|Twitter for Android|@Antdr3545200 @sofisholland Jajaja insulto, no mucho igual, y obviamente no lo hice porque es mujer, pero ya me esperaba esa respuesta de la mina|female|jajaja insulto igual obviamente hice mujer esperaba respuesta mina
27|eaaenamorado|2022-07-05 23:59:13+00:00|0|Twitter for Android|Ojalá cuando yo me casé no me toque una mujer que todos los días me pida dinero, que sepa administrar almenos.|female|ojalá casé toque mujer días pida dinero sepa administrar almenos
28|joshemaxr|2022-07-05 23:59:13+00:00|0|Twitter for iPhone|@DiazCanelB @Ana_Hurtado86 A los hp comunistas, mentirosos, y descarados Dios los cría y el diablo los ajunta. Triste ver al presidente de un país manifestándose acerca de una mujer de baja calaña cómo está sátrapa española.|female|hurtado86 hp comunistas mentirosos descarados dios cría diablo ajunta triste ver presidente país manifestándose acerca mujer baja calaña cómo sátrapa española
29|MatyMomos|2022-07-05 23:59:13+00:00|1|Twitter for Android|@investigamiste1 XDD igual aveses me salen señores como de 60 años buscando mujer cachonda que le guste el coito bien salvaje|female|xdd igual aveses salen señores 60 años buscando mujer cachonda guste coito bien salvaje
30|Crishusanj|2022-07-05 23:59:10+00:00|1|Twitter for Android|@sweetnnadine Por Dios, que dura sos mujer|female|dios dura sos mujer
31|SuckMyBalls21|2022-07-05 23:59:10+00:00|0|Twitter for Android|@GioAndres15 @LVikac Coma mierda  cabeza de transformador de electricarive que se pone la ropa de la mujer pa ir al gimnasio|female|coma mierda cabeza transformador electricarive pone ropa mujer pa ir gimnasio
32|Antocemon|2022-07-05 23:59:08+00:00|0|Twitter for iPhone|Como quitarte de encima a una mujer que no te gusta Vol.1 by Danilo Gallinari. 🐔 💩 https://t.co/tXpDHyPrUi|female|quitarte encima mujer gusta vol 1 by danilo gallinari
33|Estefficuello|2022-07-05 23:59:07+00:00|1|Twitter for Android|Solo por el echo de que sea mujer tengo que cocinar???jajaja si si ahí te cocino, espera sentado nomasss|female|solo echo mujer cocinar jajaja si si ahí cocino espera sentado nomasss
